geoid,county_name,baseline_measyear,first_season,last_season,january_shift,required_seasons,conditions,physical_plots,all_required_reports_available,spatial_join_approved,limitation
26019,Benzie,2012,2009,2011,FALSE,2009;2010;2011,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26019,Benzie,2013,2010,2012,FALSE,2010;2011;2012,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26019,Benzie,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26019,Benzie,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26019,Benzie,2016,2013,2015,FALSE,2013;2014;2015,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26021,Berrien,2013,2010,2012,FALSE,2010;2011;2012,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26021,Berrien,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26027,Cass,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26027,Cass,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2013,2010,2012,FALSE,2010;2011;2012,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26029,Charlevoix,2018,2015,2017,FALSE,2015;2016;2017,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2012,2008,2010,TRUE,2008;2009;2010,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2013,2009,2011,TRUE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2013,2010,2012,FALSE,2010;2011;2012,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2015,2012,2014,FALSE,2012;2013;2014,3,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26031,Cheboygan,2018,2015,2017,FALSE,2015;2016;2017,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2012,2009,2011,FALSE,2009;2010;2011,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2013,2010,2012,FALSE,2010;2011;2012,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2014,2011,2013,FALSE,2011;2012;2013,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2015,2012,2014,FALSE,2012;2013;2014,6,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2016,2013,2015,FALSE,2013;2014;2015,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26033,Chippewa,2018,2015,2017,FALSE,2015;2016;2017,5,5,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26039,Crawford,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26039,Crawford,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2012,2008,2010,TRUE,2008;2009;2010,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2012,2009,2011,FALSE,2009;2010;2011,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2013,2010,2012,FALSE,2010;2011;2012,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2016,2013,2015,FALSE,2013;2014;2015,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2017,2013,2015,TRUE,2013;2014;2015,3,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26041,Delta,2018,2015,2017,FALSE,2015;2016;2017,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2011,2008,2010,FALSE,2008;2009;2010,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2012,2009,2011,FALSE,2009;2010;2011,3,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2013,2010,2012,FALSE,2010;2011;2012,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2014,2011,2013,FALSE,2011;2012;2013,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2015,2011,2013,TRUE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26043,Dickinson,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26045,Eaton,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26045,Eaton,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26047,Emmet,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26047,Emmet,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26047,Emmet,2015,2012,2014,FALSE,2012;2013;2014,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26047,Emmet,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26047,Emmet,2018,2015,2017,FALSE,2015;2016;2017,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26049,Genesee,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2011,2008,2010,FALSE,2008;2009;2010,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2012,2009,2011,FALSE,2009;2010;2011,18,18,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2013,2009,2011,TRUE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2013,2010,2012,FALSE,2010;2011;2012,15,15,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2014,2011,2013,FALSE,2011;2012;2013,10,9,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2015,2012,2014,FALSE,2012;2013;2014,18,18,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2016,2012,2014,TRUE,2012;2013;2014,3,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2016,2013,2015,FALSE,2013;2014;2015,10,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2017,2014,2016,FALSE,2014;2015;2016,14,13,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26053,Gogebic,2018,2015,2017,FALSE,2015;2016;2017,18,16,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26055,Grand Traverse,2014,2011,2013,FALSE,2011;2012;2013,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26055,Grand Traverse,2015,2012,2014,FALSE,2012;2013;2014,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26055,Grand Traverse,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26059,Hillsdale,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26059,Hillsdale,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2011,2008,2010,FALSE,2008;2009;2010,8,7,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2012,2009,2011,FALSE,2009;2010;2011,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2013,2010,2012,FALSE,2010;2011;2012,11,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2014,2011,2013,FALSE,2011;2012;2013,11,11,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2015,2012,2014,FALSE,2012;2013;2014,11,11,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2016,2013,2015,FALSE,2013;2014;2015,6,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2017,2014,2016,FALSE,2014;2015;2016,9,9,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26061,Houghton,2018,2015,2017,FALSE,2015;2016;2017,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26063,Huron,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26065,Ingham,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26067,Ionia,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26067,Ionia,2018,2014,2016,TRUE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26069,Iosco,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2011,2008,2010,FALSE,2008;2009;2010,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2012,2009,2011,FALSE,2009;2010;2011,9,9,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2013,2009,2011,TRUE,2009;2010;2011,5,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2013,2010,2012,FALSE,2010;2011;2012,14,14,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2014,2010,2012,TRUE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2014,2011,2013,FALSE,2011;2012;2013,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2015,2012,2014,FALSE,2012;2013;2014,11,11,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2016,2013,2015,FALSE,2013;2014;2015,10,10,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2017,2014,2016,FALSE,2014;2015;2016,5,5,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26071,Iron,2018,2015,2017,FALSE,2015;2016;2017,13,13,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26073,Isabella,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26073,Isabella,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26077,Kalamazoo,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26077,Kalamazoo,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2014,2011,2013,FALSE,2011;2012;2013,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26079,Kalkaska,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26081,Kent,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26081,Kent,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2013,2010,2012,FALSE,2010;2011;2012,5,5,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2014,2011,2013,FALSE,2011;2012;2013,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2015,2012,2014,FALSE,2012;2013;2014,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26083,Keweenaw,2018,2015,2017,FALSE,2015;2016;2017,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26085,Lake,2011,2008,2010,FALSE,2008;2009;2010,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26085,Lake,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26085,Lake,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26087,Lapeer,2015,2012,2014,FALSE,2012;2013;2014,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26087,Lapeer,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26087,Lapeer,2017,2014,2016,FALSE,2014;2015;2016,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2013,2010,2012,FALSE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2014,2011,2013,FALSE,2011;2012;2013,4,4,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26089,Leelanau,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26091,Lenawee,2016,2013,2015,FALSE,2013;2014;2015,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26091,Lenawee,2018,2015,2017,FALSE,2015;2016;2017,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2011,2008,2010,FALSE,2008;2009;2010,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2013,2010,2012,FALSE,2010;2011;2012,6,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2014,2011,2013,FALSE,2011;2012;2013,5,5,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2015,2012,2014,FALSE,2012;2013;2014,8,8,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2016,2013,2015,FALSE,2013;2014;2015,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2017,2014,2016,FALSE,2014;2015;2016,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26095,Luce,2018,2015,2017,FALSE,2015;2016;2017,2,2,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2012,2009,2011,FALSE,2009;2010;2011,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2013,2010,2012,FALSE,2010;2011;2012,7,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2014,2010,2012,TRUE,2010;2011;2012,1,1,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2014,2011,2013,FALSE,2011;2012;2013,3,3,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2015,2012,2014,FALSE,2012;2013;2014,7,7,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
26097,Mackinac,2016,2013,2015,FALSE,2013;2014;2015,6,6,TRUE,FALSE,"Report-year coverage, not matched DMU exposure; historical boundaries and report release timing unresolved"
