observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,population,assessment,limitation
375,334,0.8906666666666667,0.5,187,0.49866666666666665,184,3,0.983957219251337,0.5508982035928144,166.55466666666666,17.445333333333338,184,183,184,184,-0.05200914137583785,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,4.045333333333334,32.95466666666667,0.10933333333333334,0.09866666666666668,4.045333333333334,0,NA,NA,0,37,0,375,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,11,26,0.2972972972972973,0.2682926829268293,4.045333333333334,6.954666666666666,11,37,11,11,65,4,4,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,9.5,27.5,0.25675675675675674,0.23170731707317074,4.045333333333334,5.454666666666666,9,37,9,10,65,4,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,5.78125,31.21875,0.15625,0.1410060975609756,4.045333333333334,1.7359166666666663,6,37,0,35,1,224,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,13,24,0.35135135135135137,0.3170731707317073,4.045333333333334,8.954666666666666,13,37,13,13,0.24846173967449348,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.1,37,0.09866666666666667,15,22,0.40540540540540543,0.36585365853658536,4.045333333333334,10.954666666666666,15,37,15,15,0.25103127651755125,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,10.168,82.832,0.10933333333333332,0.24799999999999997,10.168,0,NA,NA,0,41,0,375,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,26,67,0.27956989247311825,0.6341463414634146,10.168,15.832,26,93,26,26,26,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,26.75,66.25,0.28763440860215056,0.6524390243902439,10.168,16.582,27,91,26,27,31,4,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,14.53125,78.46875,0.15625,0.3544207317073171,10.168,4.363250000000001,14,93,0,35,1,224,93,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,25,68,0.26881720430107525,0.6097560975609756,10.168,14.832,25,93,25,25,0.1507086086474113,3,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.25,93,0.248,28,65,0.3010752688172043,0.6829268292682927,10.168,17.832,28,93,28,28,0.1415805172006597,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,20.445333333333334,166.55466666666666,0.10933333333333334,0.4986666666666667,20.445333333333334,0,NA,NA,0,41,0,375,187,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,36.5,150.5,0.19518716577540107,0.8902439024390244,20.445333333333334,16.054666666666666,37,185,36,37,5,10,5,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,35.4,151.6,0.1893048128342246,0.8634146341463415,20.445333333333334,14.954666666666665,35,185,34,36,6,10,7,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,29.21875,157.78125,0.15625,0.7126524390243902,20.445333333333334,8.773416666666666,31,186,0,35,1,224,187,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,37,150,0.19786096256684493,0.9024390243902439,20.445333333333334,16.554666666666666,37,185,37,37,0.05952695674963781,7,7,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
375,41,0.10933333333333334,0.5,187,0.49866666666666665,38,149,0.20320855614973263,0.926829268292683,20.445333333333334,17.554666666666666,38,185,38,38,0.05282694516084695,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,All eligible pairs,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,22.974545454545453,4.025454545454547,0.8509090909090908,0.09818181818181818,22.974545454545453,0,NA,NA,0,27,0,275,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,26.307692307692307,0.6923076923076934,0.9743589743589743,0.11242603550295857,22.974545454545453,3.3331468531468538,26,27,26,27,-1,39,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,26,1,0.9629629629629629,0.1111111111111111,22.974545454545453,3.025454545454547,26,27,26,26,-1.3333333333333333,4,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,25.21978021978022,1.780219780219781,0.9340659340659341,0.10777683854606931,22.974545454545453,2.245234765234766,27,27,21,27,-0,91,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,26.52,0.4800000000000004,0.9822222222222222,0.11333333333333333,22.974545454545453,3.5454545454545467,26,27,26,27,-0.041760282583011885,25,12,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.1,27,0.09818181818181818,27,0,1,0.11538461538461539,22.974545454545453,4.025454545454547,27,27,27,27,-0.02195883765164034,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,57.86181818181818,10.13818181818182,0.8509090909090908,0.24727272727272726,57.86181818181818,0,NA,NA,27,68,0,275,68,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,65.18181818181819,2.818181818181813,0.9585561497326204,0.27855477855477856,57.86181818181818,7.320000000000007,65,68,65,66,-3,11,9,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,64.55555555555556,3.444444444444443,0.9493464052287582,0.27587844254510924,57.86181818181818,6.6937373737373775,64,68,64,65,-4,18,8,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,63.51648351648352,4.483516483516482,0.9340659340659341,0.27143796374565604,57.86181818181818,5.654665334665339,63,67,62,68,-0,91,68,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,65.66666666666667,2.3333333333333286,0.965686274509804,0.28062678062678065,57.86181818181818,7.804848484848492,66,68,65,66,-0.06105495166905852,9,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.25,68,0.24727272727272728,66,2,0.9705882352941176,0.28205128205128205,57.86181818181818,8.13818181818182,66,68,66,66,-0.05100171499892727,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,116.57454545454546,20.425454545454542,0.850909090909091,0.49818181818181817,116.57454545454546,0,NA,NA,96,137,0,275,137,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,130,7,0.948905109489051,0.5555555555555556,116.57454545454546,13.425454545454542,130,137,130,130,-11,6,6,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,130,7,0.948905109489051,0.5555555555555556,116.57454545454546,13.425454545454542,130,137,130,130,-14,3,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,122.25,14.75,0.8923357664233577,0.5224358974358975,116.57454545454546,5.675454545454542,120,136,96,131,-1,184,46,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,130,7,0.948905109489051,0.5555555555555556,116.57454545454546,13.425454545454542,130,137,130,130,-0.10922043457333433,3,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,234,0.850909090909091,0.5,137,0.49818181818181817,127,10,0.927007299270073,0.5427350427350427,116.57454545454546,10.425454545454542,127,137,127,127,-0.10837884071122765,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,4.025454545454545,22.974545454545456,0.14909090909090908,0.09818181818181818,4.025454545454545,0,NA,NA,0,27,0,275,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,7,20,0.25925925925925924,0.17073170731707318,4.025454545454545,2.9745454545454546,7,27,7,7,71,2,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,7,20,0.25925925925925924,0.17073170731707318,4.025454545454545,2.9745454545454546,7,27,7,7,86,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,5.135869565217392,21.86413043478261,0.19021739130434784,0.12526511134676566,4.025454545454545,1.1104150197628462,5,27,0,27,1,184,27,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,8,19,0.2962962962962963,0.1951219512195122,4.025454545454545,3.9745454545454546,8,27,8,8,0.2533983417147942,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.1,27,0.09818181818181818,11,16,0.4074074074074074,0.2682926829268293,4.025454545454545,6.974545454545455,11,27,11,11,0.2659114475037688,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,10.138181818181819,57.86181818181818,0.1490909090909091,0.24727272727272728,10.138181818181819,0,NA,NA,0,41,0,275,68,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,20,48,0.29411764705882354,0.4878048780487805,10.138181818181819,9.861818181818181,20,68,20,20,40,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,21,47,0.3088235294117647,0.5121951219512195,10.138181818181819,10.861818181818181,21,68,21,21,45,3,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,12.934782608695652,55.065217391304344,0.19021739130434784,0.3154825026511135,10.138181818181819,2.7966007905138337,13,68,0,35,1,184,68,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,20,48,0.29411764705882354,0.4878048780487805,10.138181818181819,9.861818181818181,20,68,20,20,0.19349637987288934,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.25,68,0.24727272727272728,22,46,0.3235294117647059,0.5365853658536586,10.138181818181819,11.861818181818181,22,68,22,22,0.19124954414303108,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,20.425454545454546,116.57454545454546,0.14909090909090908,0.49818181818181817,20.425454545454546,0,NA,NA,0,41,0,275,137,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,34,103,0.24817518248175183,0.8292682926829268,20.425454545454546,13.574545454545454,34,137,34,34,12,8,7,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,34,103,0.24817518248175183,0.8292682926829268,20.425454545454546,13.574545454545454,34,135,34,34,14,3,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,26.059782608695652,110.94021739130434,0.19021739130434784,0.6356044538706257,20.425454545454546,5.634328063241107,29,136,0,35,1,184,137,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,34,103,0.24817518248175183,0.8292682926829268,20.425454545454546,13.574545454545454,34,137,34,34,0.10922043457333433,3,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
275,41,0.14909090909090908,0.5,137,0.49818181818181817,31,106,0.22627737226277372,0.7560975609756098,20.425454545454546,10.574545454545454,31,135,31,31,0.10904899568956587,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,Baseline seedlings detected,Temporal test; common seven-year scoring interval,Observed outcomes retain their actual variable intervals; no seven-year probability validation
