objective,requested_fraction,policy,reference,capacity,target_fraction_difference,expected_target_difference,direction,lower,upper,uncertainty_scope,population
Recorded entry,0.25,Maple-stage model,Raw seedling count,230,-0.021739130434782594,-5,Named policy minus reference; positive means greater capture of the stated proxy,-0.05009824101796406,0.03290540540540538,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.5,Maple-stage model,Raw seedling count,461,0.0043383947939262535,2,Named policy minus reference; positive means greater capture of the stated proxy,-0.014612808060995283,0.010293929781804512,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.1,Maple-stage model,Count model,92,0,0,Named policy minus reference; positive means greater capture of the stated proxy,0,0.015795454545454453,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.25,Maple-stage model,Count model,230,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.0068271829279657244,0.01519733425653452,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.5,Maple-stage model,Count model,461,0.004338394793926281,2,Named policy minus reference; positive means greater capture of the stated proxy,-0.009091564082506463,0.014604646206308615,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.1,Maple-stage model,Count model,92,0.03260869565217395,3,Named policy minus reference; positive means greater capture of the stated proxy,-0.042570422535211275,0.12085755813953467,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.25,Maple-stage model,Count model,230,-0.008695652173913049,-2,Named policy minus reference; positive means greater capture of the stated proxy,-0.03650349650349649,0.04438879728299658,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
Recorded entry,0.5,Maple-stage model,Count model,461,0.0043383947939262535,2,Named policy minus reference; positive means greater capture of the stated proxy,-0.009552888700084965,0.01422122465449409,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs
No recorded entry,0.1,Count model,Raw seedling count,67,-0.03258099745176568,-2.182926829268297,Named policy minus reference; positive means greater capture of the stated proxy,-0.12252923976608185,0.006083201813822827,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.25,Count model,Raw seedling count,168,-0.011904761904761973,-2,Named policy minus reference; positive means greater capture of the stated proxy,-0.07190855348806197,0.005595047194409711,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.5,Count model,Raw seedling count,336,-0.012591575091575047,-4.230769230769226,Named policy minus reference; positive means greater capture of the stated proxy,-0.037996678411509936,-0.0027493686868686374,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.1,Count model,Raw seedling count,67,-0.055970149253731366,-3.75,Named policy minus reference; positive means greater capture of the stated proxy,-0.13656397405660375,0.055075757575757556,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.25,Count model,Raw seedling count,168,0.017857142857142877,3,Named policy minus reference; positive means greater capture of the stated proxy,-0.07211038961038962,0.03688616071428567,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.5,Count model,Raw seedling count,336,-0.012591575091575075,-4.230769230769226,Named policy minus reference; positive means greater capture of the stated proxy,-0.037391154542213714,-0.0025994318181818362,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.1,Maple-stage model,Raw seedling count,67,0.012195121951219412,0.8170731707317032,Named policy minus reference; positive means greater capture of the stated proxy,-0.0608019801980198,0.030088195386702873,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.25,Maple-stage model,Raw seedling count,168,0.005952380952380931,1,Named policy minus reference; positive means greater capture of the stated proxy,-0.03662137019450276,0.0227733347940402,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.5,Maple-stage model,Raw seedling count,336,-0.012591575091575047,-4.230769230769226,Named policy minus reference; positive means greater capture of the stated proxy,-0.04754690669371199,0.003911220358588748,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.1,Maple-stage model,Raw seedling count,67,0.03358208955223879,2.25,Named policy minus reference; positive means greater capture of the stated proxy,-0.10315583101441941,0.1488186462324393,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.25,Maple-stage model,Raw seedling count,168,0.01190476190476189,2,Named policy minus reference; positive means greater capture of the stated proxy,-0.08585346638655461,0.06695768824771285,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.5,Maple-stage model,Raw seedling count,336,-0.012591575091575075,-4.230769230769226,Named policy minus reference; positive means greater capture of the stated proxy,-0.04754690669371198,0.003911220358588792,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.1,Maple-stage model,Count model,67,0.04477611940298509,3,Named policy minus reference; positive means greater capture of the stated proxy,-0.017956507834985584,0.12564102564102553,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.25,Maple-stage model,Count model,168,0.017857142857142905,3,Named policy minus reference; positive means greater capture of the stated proxy,-0.01488003095975235,0.06787356321839076,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
No recorded entry,0.5,Maple-stage model,Count model,336,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.024882182478119616,0.020267558528428056,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.1,Maple-stage model,Count model,67,0.08955223880597016,6,Named policy minus reference; positive means greater capture of the stated proxy,-0.04720588235294117,0.16157191674433052,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.25,Maple-stage model,Count model,168,-0.005952380952380987,-1,Named policy minus reference; positive means greater capture of the stated proxy,-0.056105870020964364,0.06864754098360643,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
Recorded entry,0.5,Maple-stage model,Count model,336,0,0,Named policy minus reference; positive means greater capture of the stated proxy,-0.025717547600626507,0.020267558528428112,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected
