geoid,observations,fold,assignment_rule,population
26053,110,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26125,1,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26149,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26157,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26163,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,All eligible pairs
26053,96,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26131,84,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26061,63,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26003,60,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26071,59,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26013,47,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26103,42,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26095,24,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26033,22,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26097,21,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26153,17,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26083,16,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26137,13,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26041,10,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26009,9,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26165,9,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26031,8,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26029,7,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26047,6,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26089,5,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26019,4,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26043,4,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26055,4,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26079,4,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26119,4,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26015,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26021,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26027,2,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26045,2,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26059,2,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26081,2,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26087,2,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26091,2,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26101,2,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26159,2,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26039,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26069,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26073,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26077,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26099,1,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26105,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26109,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26113,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26115,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26125,1,4,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26133,1,5,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26139,1,3,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26141,1,1,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
26149,1,2,Greedy balance by condition count only; county ID breaks ties; outcomes never used,Baseline seedlings detected
