observations,target_total,target_prevalence,requested_fraction,capacity,realized_fraction,expected_targets,expected_non_targets,selected_target_fraction,target_capture_fraction,random_expected_targets,extra_targets_vs_random,deterministic_targets,deterministic_selected_physical_plots,minimum_targets_over_cutoff_ties,maximum_targets_over_cutoff_ties,cutoff_score,cutoff_tied_mass,cutoff_tied_selected,tie_rule,objective,policy,lower,upper,uncertainty_scope,population,assessment
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,223,230,230,-0.021807545714185785,2,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.9753143648763852,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.25,230,0.24945770065075923,230,0,1,0.2798053527980535,205.05422993492408,24.94577006507592,230,225,230,230,-0.01809211529840459,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.9811522622787866,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,411,50,0.8915401301518439,0.5,411,0,NA,NA,361,461,0,922,461,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.8708383084270908,0.9169746611266262,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,452,9,0.9804772234273319,0.5498783454987834,411,41,452,447,452,452,-5,21,21,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,0.9628759388759389,0.9972387189967551,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,449,12,0.9739696312364425,0.5462287104622872,411,38,449,451,449,449,-6.666666666666667,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,0.9601606202955988,0.9958389873461644,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,430.92239858906527,30.077601410934733,0.934755745312506,0.5242364946338993,411,19.922398589065267,434,451,361,447,-1,567,106,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.9200253709765753,0.9595383167395102,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,452,9,0.9804772234273319,0.5498783454987834,411,41,452,447,452,452,-0.06129854573772147,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.9575679933081607,0.9930592438800637,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,822,0.8915401301518439,0.5,461,0.5,454,7,0.9848156182212582,0.5523114355231143,411,43,454,448,454,454,-0.060206283927409524,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.9593598141548868,0.9975559740531492,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,9.97830802603037,82.02169197396964,0.10845986984815618,0.09978308026030369,9.97830802603037,0,NA,NA,0,92,0,922,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,0.08302533887337374,0.12916169157290922,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,24,68,0.2608695652173913,0.24,9.97830802603037,14.02169197396963,24,92,24,24,69,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,0.17764705882352944,0.3534932659932658,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,23,69,0.25,0.23,9.97830802603037,13.02169197396963,23,92,23,23,74,2,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,0.19331896551724137,0.3846917808219178,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,13.954144620811288,78.04585537918871,0.15167548500881836,0.13954144620811287,9.97830802603037,3.975836594780919,12,92,0,86,1,567,92,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,0.11462677091686715,0.1868783596989709,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,25,67,0.2717391304347826,0.25,9.97830802603037,15.02169197396963,25,92,25,25,0.2858675672786262,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,0.13151515151515153,0.3483646827624929,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.1,92,0.09978308026030369,28,64,0.30434782608695654,0.28,9.97830802603037,18.02169197396963,28,92,28,28,0.29035737101526227,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,0.16113675213675216,0.39668209876543203,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,24.945770065075923,205.05422993492408,0.10845986984815618,0.24945770065075923,24.945770065075923,0,NA,NA,0,100,0,922,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,0.08302533887337375,0.12916169157290922,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,63,167,0.27391304347826084,0.63,24.945770065075923,38.05422993492408,63,229,63,63,29,5,5,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,0.2018974822005133,0.3308506944444444,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,61.57142857142857,168.42857142857144,0.2677018633540373,0.6157142857142857,24.945770065075923,36.62565850635265,61,227,61,63,31,7,2,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,0.19902990779780383,0.32191268960414343,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,34.88536155202822,195.11463844797177,0.15167548500881836,0.3488536155202822,24.945770065075923,9.939591486952299,34,230,0,86,1,567,230,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,0.11462677091686715,0.18687835969897093,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,60,170,0.2608695652173913,0.6,24.945770065075923,35.05422993492408,60,230,60,60,0.16674012868725518,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,0.18370398084405865,0.31987120981644857,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.25,230,0.24945770065075923,58,172,0.25217391304347825,0.58,24.945770065075923,33.05422993492408,58,230,58,58,0.16328089491119024,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,0.17891142955801104,0.3122540250447227,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,50,411,0.10845986984815618,0.5,50,0,NA,NA,0,100,0,922,461,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,0.08302533887337375,0.12916169157290922,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,91,370,0.19739696312364424,0.91,50,41,91,458,91,91,6,24,24,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,0.153760334223925,0.2312082014004948,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,88,373,0.19088937093275488,0.88,50,38,88,458,88,88,7,14,14,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,0.1471629971351031,0.22855760573932532,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,69.92239858906525,391.07760141093473,0.15167548500881833,0.6992239858906525,50,19.922398589065253,71,458,0,86,1,567,461,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,0.11462677091686715,0.18687835969897093,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,91,370,0.19739696312364424,0.91,50,41,91,459,91,91,0.06184480729891561,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,0.14796170024537214,0.2305418129588254,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
922,100,0.10845986984815618,0.5,461,0.5,93,368,0.2017353579175705,0.93,50,43,93,459,93,93,0.06051017014013805,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,0.14715848267697695,0.23375110291168683,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",All eligible pairs,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,57.029761904761905,9.970238095238095,0.8511904761904762,0.09970238095238096,57.029761904761905,0,NA,NA,0,67,0,672,67,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.827726750111056,0.8781025824964133,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,66.1829268292683,0.8170731707317032,0.9878048780487806,0.11570441753368584,57.029761904761905,9.153164924506392,66,67,66,67,-1,82,67,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,0.9633868808567604,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,66,1,0.9850746268656716,0.11538461538461539,57.029761904761905,8.970238095238095,66,67,66,66,-1.3333333333333333,12,11,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,0.950686037126715,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,62.51196172248804,4.488038277511961,0.9330143540669856,0.10928664636798609,57.029761904761905,5.4821998177261335,63,66,53,67,-0,209,67,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.9067867161342864,0.9603944060339409,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,64,3,0.9552238805970149,0.11188811188811189,57.029761904761905,6.970238095238095,64,67,64,64,-0.04158663642401524,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.8642156862745098,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.1,67,0.09970238095238096,67,0,1,0.11713286713286714,57.029761904761905,9.970238095238095,67,66,67,67,-0.026623448072292732,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.9285714285714286,1,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,143,25,0.8511904761904762,0.25,143,0,NA,NA,68,168,0,672,168,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.827726750111056,0.8781025824964133,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,162,6,0.9642857142857143,0.28321678321678323,143,19,162,168,160,163,-4,33,11,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,0.9354182943753522,0.9933120805369128,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,161.05263157894737,6.94736842105263,0.9586466165413534,0.28156054471843944,143,18.05263157894737,161,168,161,162,-4,38,37,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,0.9174908634079488,0.9923397058823529,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,156.74641148325358,11.253588516746419,0.9330143540669856,0.274032187907786,143,13.746411483253581,155,166,154,168,-0,209,168,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.9067867161342865,0.9603944060339409,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,160,8,0.9523809523809523,0.27972027972027974,143,17,160,168,160,160,-0.06438153826511829,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.8836023933167758,0.9896397121993128,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.25,168,0.25,163,5,0.9702380952380952,0.28496503496503495,143,20,163,167,163,163,-0.059072281049146226,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.9192138694108005,0.9916018937252685,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,286,50,0.8511904761904762,0.5,286,0,NA,NA,236,336,0,672,336,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Random expectation,0.827726750111056,0.8781025824964133,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,319.2307692307692,16.769230769230774,0.950091575091575,0.5580957504034427,286,33.230769230769226,318,335,318,320,-14,13,5,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Raw seedling count,0.9241533071120958,0.9702884372633173,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,314.4,21.600000000000023,0.9357142857142856,0.5496503496503496,286,28.399999999999977,315,336,312,315,-16,15,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count per sampled coverage,0.9134326625386997,0.9629067513368983,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,298.41036717062633,37.58963282937367,0.8881260927697212,0.5216964461024935,286,12.41036717062633,298,333,236,322,-1,463,127,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Sapling presence,0.8708331603517416,0.9089719074137927,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,315,21,0.9375,0.5506993006993007,286,29,315,335,315,315,-0.121509600840295,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Count model,0.9026615565751462,0.955157608236982,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,572,0.8511904761904762,0.5,336,0.5,315,21,0.9375,0.5506993006993007,286,29,315,334,315,315,-0.11760890100178459,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,No recorded entry,Maple-stage model,0.896285360163313,0.9602215132591185,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,9.970238095238095,57.029761904761905,0.1488095238095238,0.09970238095238095,9.970238095238095,0,NA,NA,0,67,0,672,67,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Random expectation,0.1218974175035868,0.172273249888944,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,19.75,47.25,0.2947761194029851,0.1975,9.970238095238095,9.779761904761905,20,67,19,20,86,4,3,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Raw seedling count,0.17318523153942428,0.3890617222498755,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,18,49,0.26865671641791045,0.18,9.970238095238095,8.029761904761905,18,67,18,18,91,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count per sampled coverage,0.2013768115942029,0.3959558823529411,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,12.444924406047516,54.55507559395248,0.18574514038876888,0.12444924406047515,9.970238095238095,2.474686310809421,10,67,0,67,1,463,67,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Sapling presence,0.14850289541703948,0.2277083015993907,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,16,51,0.23880597014925373,0.16,9.970238095238095,6.029761904761905,16,67,16,16,0.2952932267870381,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Count model,0.12432345360824743,0.37201680672268905,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
672,100,0.1488095238095238,0.1,67,0.09970238095238096,22,45,0.3283582089552239,0.22,9.970238095238095,12.029761904761905,22,67,22,22,0.31041810440414147,1,1,Expected uniform allocation within cutoff ties; deterministic source-key ordering also retained,Recorded entry,Maple-stage model,0.16666666666666666,0.42146499567847856,"300 whole-county resamples with all training scaling and county-held-out model fits repeated; fixed original folds, policies and model set; tie expectations recomputed; not survey-design uncertainty or external validation",Baseline seedlings detected,County held out; realized interval
